section,obj_num,objective,kr_num,kr_label,kr_text,active
Marketing,1,Generate qualified pipeline through targeted outreach and conference execution,2,Marketing > O1 > KR2,Launch targeted lender outreach generating ≥15 qualified lender meetings by Q3 2026,TRUE
Marketing,1,Generate qualified pipeline through targeted outreach and conference execution,3,Marketing > O1 > KR3,Deliver data-enriched scored ABM target list of 30 debt buyer accounts for Sales active use,TRUE
Marketing,2,Accelerate deal progression through proof assets and sales enablement,1,Marketing > O2 > KR1,Deliver enablement package to Sales ≥90% within 48 hours of opportunity reaching qualified status,TRUE
Marketing,2,Accelerate deal progression through proof assets and sales enablement,2,Marketing > O2 > KR2,Publish ≥3 proof assets by Q3 (≥2 case studies ≥1 compliance toolkit),TRUE
Marketing,2,Accelerate deal progression through proof assets and sales enablement,3,Marketing > O2 > KR3,Secure keynote session at RMAI Executive Summit,TRUE
Marketing,2,Accelerate deal progression through proof assets and sales enablement,4,Marketing > O2 > KR4,Publish lender-specific GTM playbook by Q3; ≥3 closed lender deals cite it as contributing sales tool,TRUE
Marketing,2,Accelerate deal progression through proof assets and sales enablement,5,Marketing > O2 > KR5,Earn ≥4 industry-specific backlinks/media mentions by Q3,TRUE
Marketing,3,Eliminate deal-blocking delays through DDQ and RFP execution,1,Marketing > O3 > KR1,≥90% of standard DDQs and RFPs delivered within 5 business days,TRUE
Marketing,3,Eliminate deal-blocking delays through DDQ and RFP execution,2,Marketing > O3 > KR2,Expand DDQ/RFP answer library; SME involvement ≤2 comments per SME by Q3 covering ≥90% of recurring questions,TRUE
Client Success,1,Build a CS AI engine that eliminates manual work and scales my capacity,1,Client Success > O1 > KR1,Define full CS workflow inventory by Q2; 80% of workflows AI-assisted by Q3,TRUE
Client Success,1,Build a CS AI engine that eliminates manual work and scales my capacity,2,Client Success > O1 > KR2,Reduce avg CS delivery time for top 5 highest-frequency deliverables by 50% vs Q2 baseline,TRUE
Client Success,1,Build a CS AI engine that eliminates manual work and scales my capacity,3,Client Success > O1 > KR3,Centralized client health dashboard live with real-time visibility into placement volume performance and onboarding status,TRUE
Client Success,2,Build the CS toolkit that drives retention growth and Kompato's performance narrative,1,Client Success > O2 > KR1,Performance narrative toolkit live (MBR template ROI one-pager Client Primer) by Q2,TRUE
Client Success,2,Build the CS toolkit that drives retention growth and Kompato's performance narrative,2,Client Success > O2 > KR2,Account growth playbook built (wallet share conversation guide volume expansion triggers escalation path) by Q3,TRUE
Client Success,2,Build the CS toolkit that drives retention growth and Kompato's performance narrative,3,Client Success > O2 > KR3,Contribute ≥4 referenceable proof assets by Q4 coordinating with GTM on production and publication,TRUE
Client Success,2,Build the CS toolkit that drives retention growth and Kompato's performance narrative,4,Client Success > O2 > KR4,Deliver 30/60/90-day value review for 100% of strategic accounts post-go-live,TRUE
Client Success,2,Build the CS toolkit that drives retention growth and Kompato's performance narrative,5,Client Success > O2 > KR5,Present formal expansion case to ≥3 clients live 180+ days by Q4,TRUE
Client Success,3,Get clients live fast and keep implementations on track,1,Client Success > O3 > KR1,Median time from signed to live: ≤60 days standard ≤90 days complex,TRUE
Client Success,3,Get clients live fast and keep implementations on track,2,Client Success > O3 > KR2,≥90% of implementation milestones hit on target date,TRUE
Operations,1,Deliver top-2 collections performance on every active debt buyer placement,1,Operations > O1 > KR1,10-month liquidation rate outperforms nearest competing vendor by ≥1.3x across all active debt buyer placements,TRUE
Operations,1,Deliver top-2 collections performance on every active debt buyer placement,2,Operations > O1 > KR2,Collections amount run rate contributing to $800K/month US-only breakeven by September 2026,TRUE
Operations,1,Deliver top-2 collections performance on every active debt buyer placement,3,Operations > O1 > KR3,Reduce average days to conversion from 2025 baseline by 20% by Q4,TRUE
Operations,1,Deliver top-2 collections performance on every active debt buyer placement,4,Operations > O1 > KR4,Achieve promise-to-pay conversion rate ≥28% by Q4 across all active accounts,TRUE
Operations,2,Scale the operation through AI,1,Operations > O2 > KR1,95% of accounts on AI calls by Q3 with collector transfer rate below 5%,TRUE
Operations,2,Scale the operation through AI,2,Operations > O2 > KR2,≥10pp recovery rate lift on AI-handled calls vs. live agent dials (min 500 accounts per cell),TRUE
Operations,2,Scale the operation through AI,3,Operations > O2 > KR3,Collections amount per live agent from $20K to $50K/month through AI-driven prioritization by Q4,TRUE
Operations,2,Scale the operation through AI,4,Operations > O2 > KR4,30% reduction in cost per dollar collected through AI-driven scale by Q4,TRUE
Operations,3,Drive share-of-wallet expansion,1,Operations > O3 > KR1,#1 or #2 vendor ranking by 90-day mark for every client live by Q2,TRUE
Operations,3,Drive share-of-wallet expansion,2,Operations > O3 > KR2,Double share of each client's total debt portfolio placed with Kompato within 6 months for ≥3 clients,TRUE
Operations,3,Drive share-of-wallet expansion,3,Operations > O3 > KR3,$500K in expansion collections from share-of-wallet expansion clients by Q4,TRUE
Operations,3,Drive share-of-wallet expansion,4,Operations > O3 > KR4,<0.5% compliance incident rate; ≥3 clients cite compliance confidence as factor in expansion decision,TRUE
Operations,4,Build team process and operational capacity to scale through 2026,1,Operations > O4 > KR1,3-5 collectors hired; each reaching full independent productivity (≥80% team avg liquidation rate) within 30 days,TRUE
Operations,4,Build team process and operational capacity to scale through 2026,2,Operations > O4 > KR2,Deploy standardized collections playbook covering all product lines AI-Human workflows escalation and compliance by Q3,TRUE
Operations,4,Build team process and operational capacity to scale through 2026,3,Operations > O4 > KR3,100% of collectors at defined AI-Human performance thresholds (PTP ≥28% avg payment ≥$375 availability ≥90%),TRUE
Operations,4,Build team process and operational capacity to scale through 2026,4,Operations > O4 > KR4,Scale account-to-live-agent ratio from 19K:1 to 50K:1 by Q4 supporting $2M/month collections run rate,TRUE
Implementation,1,Turn every signed client into a live revenue-generating account in 21 days,1,Implementation > O1 > KR1,Clients onboarded in 2026 contributing to $1.77M/month Q3 and $3.56M/month Q4 revenue targets,TRUE
Implementation,1,Turn every signed client into a live revenue-generating account in 21 days,2,Implementation > O1 > KR2,Reduce avg client onboarding cycle from 90 days to 21 days by September 2026 (3-phase model),TRUE
Implementation,1,Turn every signed client into a live revenue-generating account in 21 days,3,Implementation > O1 > KR3,Scale from 3 to 25 active production clients by December 2026,TRUE
Implementation,1,Turn every signed client into a live revenue-generating account in 21 days,4,Implementation > O1 > KR4,≥90% first-time go-live success rate (no critical rework beyond Phase 3) by December 2026,TRUE
Implementation,2,Compress the onboarding engine from 21 days to 14 through AI Fusion and process automation,1,Implementation > O2 > KR1,Compress 3-phase onboarding from 21 days to 14 days via AI-assisted artifact generation and go-live checks,TRUE
Implementation,2,Compress the onboarding engine from 21 days to 14 through AI Fusion and process automation,2,Implementation > O2 > KR2,Scale from 1 to 5 concurrent onboardings without cycle time degradation by December 2026,TRUE
Implementation,2,Compress the onboarding engine from 21 days to 14 through AI Fusion and process automation,3,Implementation > O2 > KR3,Deploy Team AI for onboarding status tracking flagging blockers and surfacing next-steps across all active onboardings,TRUE
Implementation,2,Compress the onboarding engine from 21 days to 14 through AI Fusion and process automation,4,Implementation > O2 > KR4,Reduce clarification cycles per engineering handoff from 5 to ≤1 through complete decision-ready specs,TRUE
AGI Product — Account & Orchestration,1,Drive Recovery Performance,1,AGI Product > Account & Orchestration > O1 > KR1,Liquidation rate +25% vs. current cohort baseline by Q4,TRUE
AGI Product — Account & Orchestration,1,Drive Recovery Performance,2,AGI Product > Account & Orchestration > O1 > KR2,RPC rate +25% improvement (stabilize and improve from 2.9% to 3.5%+) by Q2,TRUE
AGI Product — Account & Orchestration,2,Affirm Go-Live,1,AGI Product > Account & Orchestration > O2 > KR1,Affirm cure rate ≥ Domu BGO benchmark upon go-live in Q2,TRUE
AGI Product — Account & Orchestration,3,Scalable Client Onboarding,1,AGI Product > Account & Orchestration > O3 > KR1,Onboarding cycle ≤15 business days + 100% file acceptance by Q2 (from ~20 day baseline),TRUE
AGI Product — Digital Collection,1,Portal as Primary Payment Channel,1,AGI Product > Digital Collection > O1 > KR1,Portal payment conversion ≥30% by Q2 (from 20% baseline),TRUE
AGI Product — Digital Collection,1,Portal as Primary Payment Channel,2,AGI Product > Digital Collection > O1 > KR2,MAU ≥2% of total accounts by Q2 (from 1.13% baseline),TRUE
AGI Product — Digital Collection,2,Digital as Liquidation Contributor,1,AGI Product > Digital Collection > O2 > KR1,Establish digital liquidation attribution baseline and achieve 3% digital contribution to monthly liquidation by Q4,TRUE
AGI Product — Digital Collection,2,Digital as Liquidation Contributor,2,AGI Product > Digital Collection > O2 > KR2,Email + SMS delivery rate ≥95% by Q1,TRUE
AGI Product — ConvoAI,1,ConvoAI Performance,1,AGI Product > ConvoAI > O1 > KR1,End-to-end AI call handling ≥99% by Q2 (from 98% baseline),TRUE
AGI Product — ConvoAI,1,ConvoAI Performance,2,AGI Product > ConvoAI > O1 > KR2,PTP/RPC ≥15% by Q2 (from 10.3% baseline through negotiation and SM enhancements),TRUE
AGI Product — ConvoAI,1,ConvoAI Performance,3,AGI Product > ConvoAI > O1 > KR3,30% drop-off recovery rate across omni-channel by Q2 (from 0% baseline),TRUE
AGI Product — ConvoAI,1,ConvoAI Performance,4,AGI Product > ConvoAI > O1 > KR4,Affirm conversation fail rate <0.1% and cure rate ≥95% upon go-live in Q2,TRUE
AGI Product — Compliance & UX,1,Compliance and UX Quality,1,AGI Product > Compliance & UX > O1 > KR1,≥80% of sprint releases scanned pre-launch by Q2; 100% by Q3,TRUE
AGI Product — Compliance & UX,1,Compliance and UX Quality,2,AGI Product > Compliance & UX > O1 > KR2,90% of production calls continuously monitored (maintaining current 100% — on track),TRUE
AGI Product — Compliance & UX,1,Compliance and UX Quality,3,AGI Product > Compliance & UX > O1 > KR3,1 client-facing compliance dashboard live by Q2,TRUE
AGI Product — Compliance & UX,1,Compliance and UX Quality,4,AGI Product > Compliance & UX > O1 > KR4,≥60% of qualified calls receiving post-call UX analysis by Q2 (from 0% baseline),TRUE
AGI Product — Sophia,1,Sophia Scale and Market Expansion,1,AGI Product > Sophia > O1 > KR1,Monthly lead volume ≥300K by Q4 (currently ~30% of target),TRUE
AGI Product — Sophia,1,Sophia Scale and Market Expansion,2,AGI Product > Sophia > O1 > KR2,2 new POC clients signed by Q4,TRUE
AGI Product — Sophia,1,Sophia Scale and Market Expansion,3,AGI Product > Sophia > O1 > KR3,1 POC client converts to production agreement by Q4,TRUE
AGI Product — Sophia,1,Sophia Scale and Market Expansion,4,AGI Product > Sophia > O1 > KR4,1 new country expansion by Q2 (currently at 50% of target),TRUE
AGI Product — Sophia,1,Sophia Scale and Market Expansion,5,AGI Product > Sophia > O1 > KR5,1 new use case developed and validated by Q3,TRUE
AGI Engineering,1,Enable Fast Compliant Onboarding,1,AGI Engineering > O1 > KR1,Onboard AIM-compliant debt buyers in ≤14 days from first placement file to live collections,TRUE
AGI Engineering,1,Enable Fast Compliant Onboarding,2,AGI Engineering > O1 > KR2,Support ≥90% of AIM placement file schemas via configurable mappings (no custom code),TRUE
AGI Engineering,1,Enable Fast Compliant Onboarding,3,AGI Engineering > O1 > KR3,Process account lifecycle changes (recalls bankruptcy deceased) with <1% errors and same-day SLA,TRUE
AGI Engineering,1,Enable Fast Compliant Onboarding,4,AGI Engineering > O1 > KR4,Demonstrate successful onboarding of ≥1 enterprise AIM client using standardized flow,TRUE
AGI Engineering,2,Deliver AIM-Compliant Reporting and Auditability,1,AGI Engineering > O2 > KR1,Launch configurable AIM-compliant reporting — POs and stakeholders design and export reports without engineering support,TRUE
AGI Engineering,2,Deliver AIM-Compliant Reporting and Auditability,2,AGI Engineering > O2 > KR2,Meet AIM information exchange certification requirements (internal readiness or external validation),TRUE
AGI Engineering,2,Deliver AIM-Compliant Reporting and Auditability,3,AGI Engineering > O2 > KR3,Provide full audit trails for compliance rule evaluation message delivery decisions and account state transitions,TRUE
AGI Engineering,2,Deliver AIM-Compliant Reporting and Auditability,4,AGI Engineering > O2 > KR4,External systems can reconstruct full account history using reports + audit logs alone,TRUE
AGI Engineering,3,Scale Outbound Communications to Enterprise Volume,1,AGI Engineering > O3 > KR1,Sustain delivery of 1M emails/day with ≥99% delivery success and zero domain-level blacklisting,TRUE
AGI Engineering,3,Scale Outbound Communications to Enterprise Volume,2,AGI Engineering > O3 > KR2,Automate email domain lifecycle management (purchase mapping IP allocation warm-up accounting),TRUE
AGI Engineering,3,Scale Outbound Communications to Enterprise Volume,3,AGI Engineering > O3 > KR3,Reduce time-to-send for new domains by ≥50% vs. current baseline,TRUE
AGI Engineering,3,Scale Outbound Communications to Enterprise Volume,4,AGI Engineering > O3 > KR4,Support multi-channel orchestration (Email SMS Voice Zalo) via unified messaging interface,TRUE
AGI Engineering,4,Strengthen Compliance and Event Infrastructure,1,AGI Engineering > O4 > KR1,All compliance rule engines API-first with versioned policies and runtime evaluation,TRUE
AGI Engineering,4,Strengthen Compliance and Event Infrastructure,2,AGI Engineering > O4 > KR2,Cover ≥95% of compliance scenarios handled by third-party collection systems,TRUE
AGI Engineering,4,Strengthen Compliance and Event Infrastructure,3,AGI Engineering > O4 > KR3,Emit causal ordered event stream for all collection actions and account state changes,TRUE
AGI Engineering,4,Strengthen Compliance and Event Infrastructure,4,AGI Engineering > O4 > KR4,Enable ≥1 downstream system to integrate using the event firehose without custom hooks,TRUE
AGI Engineering,5,Define and Pilot AI-First First-Party Collections,1,AGI Engineering > O5 > KR1,Define minimum first-party product by extracting reusable components from Kompato US,TRUE
AGI Engineering,5,Define and Pilot AI-First First-Party Collections,2,AGI Engineering > O5 > KR2,Publish clear workflow hooks and integration contracts for client-owned systems,TRUE
AGI Engineering,5,Define and Pilot AI-First First-Party Collections,3,AGI Engineering > O5 > KR3,Create client-facing integration documentation derived from internal hook docs,TRUE
AGI Engineering,5,Define and Pilot AI-First First-Party Collections,4,AGI Engineering > O5 > KR4,Integrate with ≥1 fintech client achieving live POC or production traffic,TRUE
